issuer,cik,tickers,exchanges,listed_status,vehicle,launch_date,expiration,offer_type,offer_price,range_low,range_high,nav_pct,final_price,premium_price_used,premium_flag,pre_close,pre_close_date,post_close,post_close_date,pre_close_split_factor,doc_ref_price,doc_ref_quote,gross_premium,yf_premium,yf_doc_price_ratio,premium_basis,tendered_class,completed,proration,odd_lot_priority,odd_lot_clause,odd_lot_clause_2,odd_lot_priority_basis,launch_accession,clause_doc_accession,clause_doc_url,doc_sha256,completion_doc,completion_date,n_hit_filings,n_filings_in_offer,orphan_amendment,listed_basis,price_note,completion_source,doc_bytes,launch_primary_doc
"Triumph Financial, Inc.",0001539638,"TFIN,TFIN-P","NYSE,NYSE",listed,operating_company,2022-11-07,2022-12-06,dutch_auction,,51.0,58.0,,,54.5,range_midpoint,49.349998474121094,2022-11-04,54.58000183105469,2022-12-07,1.0,49.35,last reported sale price of the shares on the NASDAQ was $49.35,0.1043566362715298,0.10435667041772145,0.999999969080468,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 shares and I tender all of my shares, will I be subject to proration? If you own, beneficially or of record, fewer than an aggregate of 100 shares, you properly tender all of such shares at or below the Purchase Price prior to the Expiration Date (and do not properly withdraw such shares) and you complete the section entitled Odd Lots in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, and all conditions to the tender offer are satisfied or waived, we will purchase all of your shares without subjecting them to proration.","If the conditions to the tender offer have been satisfied or waived and shares having an aggregate purchase price in excess of $100,000,000, measured at the maximum price at which such shares were properly tendered, have been properly tendered and not properly withdrawn prior to the Expiration Date, we will buy shares in the following order of priority: first, from all holders of odd lots (holders of fewer than 100 shares) who properly tender all their shares at or below the Purchase Price and do not properly withdraw them before the Expiration Date; second, on a pro rata basis, with appropriate adjustment to avoid purchases of fractional shares, from all other stockholders who properly tender shares at or below the Purchase Price",odd-lot -> no-proration/priority: 'odd lot priority' (<100-share threshold stated in the document),0001193125-22-278496,0001193125-22-278496,https://www.sec.gov/Archives/edgar/data/1539638/000119312522278496/d414977dex99a1i.htm,0be58f5f5135c8ab5530dbbb8201d014b3a64655efcdb705207d0bb0344b9445,https://www.sec.gov/Archives/edgar/data/1539638/000119312522301423/d427898dsctoia.htm,2022-12-09,4,4,False,"submissions index: ['TFIN', 'TFIN-P'] on ['NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-22-301423,369279,d414977dsctoi.htm
Brookfield Property Partners L.P.,0001545772,"BPYPP,BPYPM,BPYPN,BPYPO","Nasdaq,Nasdaq,Nasdaq,Nasdaq",listed,REIT,2019-02-11,2019-03-25,unknown,,,,,,,,,,24.81999969482422,2019-03-26,,24.74,closing price of the Units was C$24.74,,,,,common_or_unspecified,yes,,yes,"Unitholders owning an aggregate of less than 100 Units whose Units are purchased pursuant to the Offer will avoid any odd lot discounts, which may be applicable on a sale of their Units in a transaction on the TSX or Nasdaq.","For purposes of the Offer, the term Odd Lots means all Successfully Tendered Units tendered by or on behalf of the Successful Unitholders who individually beneficially own, as of the Expiration Time, an aggregate of fewer than 100 Units ( Odd Lot Holders ).","no-proration/priority -> odd-lot: 'preference, an Odd Lot' (threshold not restated in this document)",0001104659-19-007111,0001104659-19-007111,https://www.sec.gov/Archives/edgar/data/1545772/000110465919007111/a19-4058_7ex99da1a.htm,22df6130c9117deea0a11c207da555f001fd4f3c2ed460e0aa4d291c2613fa67,https://www.sec.gov/Archives/edgar/data/1545772/000110465919018368/a19-6991_3sctoia.htm,2019-03-29,4,4,False,"submissions index: ['BPYPP', 'BPYPM', 'BPYPN', 'BPYPO'] on ['Nasdaq', 'Nasdaq', 'Nasdaq', 'Nasdaq']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-19-018368,787223,a19-4058_7sctoi.htm
"Summit Midstream Partners, LP",0001549922,,,unknown,REIT,2020-11-10,2020-12-09,unknown,,,,,,,,,,,,,153.3,closing price of our Series A Preferred Units on the OTC was $153.30,,,,,common_or_unspecified,yes,"proration factor for the Tender Offer, after giving effect to the priority for odd-lot holders, is approximately 80",yes,"Because of the odd lot priority and proration provisions described above, we may not purchase all of the units that you tender.","Because of Odd Lot priority and proration provisions described above, we may not purchase all of the Series A Preferred Units that you tender if units in excess of the Maximum Aggregate Purchase Price are validly tendered (and not properly withdrawn).",odd-lot -> no-proration/priority: 'odd lot priority' (threshold not restated in this document),0001193125-20-289631,0001193125-20-289631,https://www.sec.gov/Archives/edgar/data/1549922/000119312520289631/d828438dex99a1i.htm,1b55f2743bda181369d78a0f1de17aa478c34cb9848f3f12f102b6575ea3b048,https://www.sec.gov/Archives/edgar/data/1549922/000119312520328254/d828438dsctoia.htm,2020-12-29,6,5,False,"no ticker in submissions index, no non-traded language matched",not exchange-listed / no ticker in the submissions index,0001193125-20-328254,322283,d828438dsctoi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2019-03-15,2019-04-22,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.","O THE OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL MARCH 14, 2019 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have all of their Shares accepted for payment even if the Offer to Purchase is over-subscribed.",odd-lot -> no-proration/priority: 'Odd-lot Stockholders who wish to take advantage of this preference' (<100-share threshold stated in the document),0001554625-19-000046,0001554625-19-000046,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000046/exhibit99a1b32019.htm,ef175666bd85600b712a7f6f40d004256672f264d0c7ac5342c57612c84a66b6,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000086/a2019429-prisxscheduletoa.htm,2019-04-29,3,2,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","no bars (delisted, renamed ticker, or not on the free feed)",0001554625-19-000086,221444,a2019314-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2019-06-13,2019-07-22,nav_based,,,,,,,,,,25.14299964904785,2019-07-23,,,,,,,,common_or_unspecified,yes,,yes,"IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.","TO THE OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL JUNE 13, 2019 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have all of their Shares accepted for payment even if the Offer to Purchase is over-subscribed.",odd-lot -> no-proration/priority: 'Odd-lot Stockholders who wish to take advantage of this preference' (<100-share threshold stated in the document),0001554625-19-000121,0001554625-19-000121,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000121/exhibit99a1b62019.htm,c0ec5fbfb4ae8d99a800c7b3e3a79a0b2d995c7571924f7da1623e0ce3ca9cc9,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000148/a2019731-prisxscheduletoa.htm,2019-07-31,4,3,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-19-000148,221573,a2019613-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2019-09-12,2019-10-21,nav_based,,,,,,,,25.899999618530273,2019-09-11,25.61750030517578,2019-10-22,1.0,,,,,,,common_or_unspecified,yes,,yes,"IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.","E OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL SEPTEMBER 12, 2019 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have all of their Shares accepted for payment even if the Offer to Purchase is over-subscribed.",odd-lot -> no-proration/priority: 'Odd-lot Stockholders who wish to take advantage of this preference' (<100-share threshold stated in the document),0001554625-19-000159,0001554625-19-000159,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000159/exhibit99a1b92019.htm,0b2f4ea6496623e01ef0d63442c6d061744933121636e5675e8fec4acc52433b,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000192/a20191028-prisxscheduletoa.htm,2019-10-29,3,2,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-19-000192,221112,a2019912-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2019-12-13,2020-01-21,nav_based,,,,,,,,25.110000610351562,2019-12-12,25.5,2020-01-22,1.0,,,,,,,common_or_unspecified,yes,,yes,"IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.","HE OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL DECEMBER 13, 2019 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have all of their Shares accepted for payment even if the Offer to Purchase is over-subscribed.",odd-lot -> no-proration/priority: 'Odd-lot Stockholders who wish to take advantage of this preference' (<100-share threshold stated in the document),0001554625-19-000211,0001554625-19-000211,https://www.sec.gov/Archives/edgar/data/1554625/000155462519000211/exhibit99a1b122019.htm,6b562ac54f4f0fc147cbcff367779d991e5ff9c9c7d469a8951e773cc023db97,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000012/a20200127-prisxscheduletoa.htm,2020-01-27,3,2,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-20-000012,221869,a20191213-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2020-03-13,2020-04-20,nav_based,,,,,,,,21.860000610351562,2020-03-12,24.28700065612793,2020-04-21,1.0,,,,,,,common_or_unspecified,yes,,yes,"IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.","O THE OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL MARCH 13, 2020 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have all of their Shares accepted for payment even if the Offer to Purchase is over-subscribed.",odd-lot -> no-proration/priority: 'Odd-lot Stockholders who wish to take advantage of this preference' (<100-share threshold stated in the document),0001554625-20-000053,0001554625-20-000053,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000053/exhibit99a1b032020.htm,f6ecaa2b10777ec1cbcedfa312cad04db0b28f3e12050db38e0b8e0de927d481,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000073/a20200526-prisxscheduletoa2.htm,2020-05-26,3,3,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-20-000073,221924,a2020312-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2020-06-12,2020-07-20,nav_based,,,,,,,,24.9950008392334,2020-06-11,24.399999618530273,2020-07-21,1.0,,,,,,,common_or_unspecified,yes,,yes,"TO THE OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL JUNE 12, 2020 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have priority, in having their Shares accepted for payment, over stockholders holding 100 Shares or more, even if the Offer to Purchase is over-subscribed.","IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.",odd-lot -> no-proration/priority: 'ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less' (<100-share threshold stated in the document),0001554625-20-000078,0001554625-20-000078,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000078/exhibit99a1b062020.htm,b65135da2ce264c3b602b289213b4231f9ff9f4b7cd8e675b12dbdd726c4dc16,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000087/a20200817-prisxscheduletoa2.htm,2020-08-18,3,3,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-20-000087,221936,a2020612-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",listed,REIT,2020-09-10,2020-10-19,nav_based,,,,,,,,25.979999542236328,2020-09-09,24.780000686645508,2020-10-20,1.0,,,,,,,common_or_unspecified,yes,,yes,"E OFFER TO PURCHASE DATED LETTER OF TRANSMITTAL SEPTEMBER 10, 2020 ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less than 100 Shares (also known as ""Odd Lot Holders"") who tender all of their Shares will have priority, in having their Shares accepted for payment, over stockholders holding 100 Shares or more, even if the Offer to Purchase is over-subscribed.","IF YOU ARE AN OWNER OF LESS THAN 100 SHARES (AN ODD LOT), PLEASE RETURN THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITTAL LETTER OF TRANSMITTAL INSTRUCTIONS TO LETTER OF TRANSMITTAL FORMING PART OF TERMS AND CONDITIONS OF THIS LETTER OF TRANSMITTAL 1.",odd-lot -> no-proration/priority: 'ODD LOT CERTIFICATION FORM CERTIFICATION FORM TO BE COMPLETED BY ALL OWNERS OF LESS THAN 100 SHARES SUMBIT THIS FORM WITH A PROPERLY COMPLETED AND SIGNED LETTER OF TRANSMITAL Stockholders holding less' (<100-share threshold stated in the document),0001554625-20-000093,0001554625-20-000093,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000093/exhibit99a1b092020.htm,221ad5aadc4e26846a32493bc034006394a7765f8cbc4130b3c1d2d683f8d2c7,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000110/a20201118-prisxscheduletoa2.htm,2020-11-18,3,3,False,"submissions index: ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001554625-20-000110,221842,a2020910-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2020-12-10,2021-01-18,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-20-000123,0001554625-20-000123,https://www.sec.gov/Archives/edgar/data/1554625/000155462520000123/exhibit99a1a122020.htm,52592fbd1ab8295b68b0a56e3145c17c01d8a8c389bbae953728c92196ea7c04,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000007/a20210126-prisxscheduletoa.htm,2021-01-26,2,3,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-21-000007,190741,a20201210-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2021-03-12,2021-04-19,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-21-000041,0001554625-21-000041,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000041/exhibit99a1a032021.htm,898ff671600c07c04e09138b1a0c9e2b583ecb651a4ee200cebf3cb3877c820a,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000073/a20210428-prisxscheduletoa.htm,2021-04-28,2,2,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-21-000073,175736,a20210312-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2021-06-11,2021-07-19,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-21-000109,0001554625-21-000109,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000109/exhibit99a1a062021.htm,afe913f401df68391ada72528b51765e4470a0cce45fa8bb8f6462d721ff56ca,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000161/a20210813-prisxscheduletoa2.htm,2021-08-13,2,3,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-21-000161,175801,a20210611-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2021-09-10,2021-10-18,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-21-000177,0001554625-21-000177,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000177/exhibit99a1a092021.htm,4bef071c8fb5b9992c2ced9b442d74beacb31d94274aaa1070142ffac02e1436,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000229/a20211206-prisxscheduletoa.htm,2021-12-07,2,4,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-21-000229,174892,a20210910-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2021-12-10,2022-01-21,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-21-000233,0001554625-21-000233,https://www.sec.gov/Archives/edgar/data/1554625/000155462521000233/exhibit99a1a122021.htm,de05087bc63ecd13770b584cd74cd72ba52b2b0a951d5ecb5dec79c4c7b8dbe5,https://www.sec.gov/Archives/edgar/data/1554625/000155462522000038/a20220216-prisxscheduletoa.htm,2022-02-16,2,4,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-22-000038,175344,a20211210-prisxscheduletoxi.htm
"Priority Income Fund, Inc.",0001554625,"PRIF-PD,PRIF-PK,PRIF-PL","NYSE,NYSE,NYSE",non_traded,closed_end_or_interval_fund,2022-03-11,2022-04-19,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,yes,"Odd lots will be accepted for payment before any proration of the purchase of other tendered Shares, provided that (a) this priority is not available to partial tenders or to beneficial or record holders of 100 or more Shares in the aggregate, even if these holders have separate accounts or certificates representing fewer than 100 Shares, and (b) to qualify for this priority, an Odd Lot Holder must tender all Shares owned by the Odd Lot Holder in accordance with the procedures described in Section 4.","Odd Lot Holders who tender all of their Shares must also check the ""Full Odd Lot Redemption (100 shares or less)"" box in to the Letter of Transmittal to qualify for the priority treatment available to Odd Lot Holders as set forth in Section 1.",odd-lot -> no-proration/priority: 'Odd lots will be accepted for payment before any prorat' (<100-share threshold stated in the document),0001554625-22-000079,0001554625-22-000079,https://www.sec.gov/Archives/edgar/data/1554625/000155462522000079/exhibit99a1a032022.htm,c400ae25bd0a95d6b1379c4cc352c3e7108f72c2e6ef74b4cef55c1fb4cd3fc1,https://www.sec.gov/Archives/edgar/data/1554625/000155462522000103/a20220425-prisxscheduletoa.htm,2022-04-25,2,2,False,"document: 'there is no public market for our Shares. See Section 2 below. The offer is made upon the terms and subject to the conditions set forth in t' [submissions index also lists ['PRIF-PD', 'PRIF-PK', 'PRIF-PL'] on ['NYSE', 'NYSE', 'NYSE'] - other class or later]",not exchange-listed / no ticker in the submissions index,0001554625-22-000103,175262,a20220311-prisxscheduletoxi.htm
